Add4bits/A	Add4bits/B	Add4bits/C_in	Add4bits/C_out	Add4bits/D	sysclk	clk	
clk:clk:1:Hz
1101	0001	0	0	1110	0	1	
1101	0001	0	0	1110	1	1	
1101	0001	0	0	1110	0	1	
1101	0001	0	0	1110	1	1	
1101	0001	0	0	1110	0	0	
1101	0001	0	0	1110	1	0	
1101	0001	0	0	1110	0	0	
1101	0001	0	0	1110	1	0	
1101	0001	1	0	1111	0	1	
1101	0001	1	0	1111	1	1	
1101	0001	1	0	1111	0	1	
1101	0001	1	0	1111	1	1	
1101	0001	1	0	1111	0	0	
1101	0001	1	0	1111	1	0	
1101	0001	1	0	1111	0	0	
1101	0001	1	0	1111	1	0	
1110	0001	0	0	1111	0	1	
1110	0001	0	0	1111	1	1	
1110	0001	0	0	1111	0	1	
1110	0001	0	0	1111	1	1	
1110	0001	0	0	1111	0	0	
1110	0001	0	0	1111	1	0	
1110	0001	0	0	1111	0	0	
1110	0001	0	0	1111	1	0	
1110	0001	1	1	0000	0	1	
1110	0001	1	1	0000	1	1	
1110	0001	1	1	0000	0	1	
1110	0001	1	1	0000	1	1	
1110	0001	1	1	0000	0	0	
1110	0001	1	1	0000	1	0	
1110	0001	1	1	0000	0	0	
1110	0001	1	1	0000	1	0	
1111	0001	0	1	0000	0	1	
1111	0001	0	1	0000	1	1	
